2theta,Intensity
21.24,14
21.26,14
21.28,12
21.3,12.6667
21.32,12
21.34,14
21.36,15.3333
21.38,18
21.4,22
21.42,22
21.44,24
21.46,29.3333
21.48,32.6667
21.5,36.6667
21.52,30.6667
21.54,24.6667
21.56,24
21.58,26
21.6,22.6667
21.62,18.6667
21.64,14.6667
21.66,12.6667
21.68,11.3333
21.7,11.3333
21.72,9.33333
21.74,8
21.76,10
21.78,11.3333
21.8,8
21.82,10
21.84,11.3333
21.86,10
21.88,9.33333
21.9,8
21.92,9.33333
21.94,8.66667
21.96,8
21.98,8.66667
22,7.33333
22.02,6
22.04,7.33333
22.06,8.66667
22.08,7.33333
22.1,6
22.12,6
22.14,6.66667
22.16,9.33333
22.18,11.3333
22.2,9.33333
22.22,9.33333
22.24,6
22.26,8
22.28,8
22.3,9.33333
22.32,11.3333
22.34,10
22.36,9.33333
22.38,6
22.4,9.33333
22.42,7.33333
22.44,5.33333
22.46,8.66667
22.48,8.66667
22.5,8.66667
22.52,10
22.54,10
22.56,6.66667
22.58,10
22.6,11.3333
22.62,8.66667
22.64,8
22.66,8
22.68,13.3333
22.7,12.6667
22.72,12
22.74,16
22.76,16.6667
22.78,14
22.8,14
22.82,10.6667
22.84,16
22.86,22.6667
22.88,28
22.9,25.3333
22.92,33.3333
22.94,53.3333
22.96,54.6667
22.98,67.3333
23,84
23.02,97.3333
23.04,109.333
23.06,130
23.08,130
23.1,126.667
23.12,103.333
23.14,95.3333
23.16,85.3333
23.18,52.6667
23.2,40
23.22,32
23.24,21.3333
23.26,18
23.28,14
23.3,10.6667
23.32,11.3333
23.34,14.6667
23.36,16
23.38,13.3333
23.4,10.6667
23.42,11.3333
23.44,10.6667
23.46,10
23.48,10
23.5,10.6667
23.52,7.33333
23.54,12
23.56,8.66667
23.58,9.33333
23.6,12
23.62,11.3333
23.64,9.33333
23.66,8
23.68,12.6667
23.7,13.3333
23.72,8.66667
23.74,10.6667
23.76,10.6667
23.78,11.3333
23.8,10.6667
23.82,11.3333
23.84,10.6667
23.86,9.33333
23.88,6.66667
23.9,8.66667
23.92,8.66667
23.94,11.3333
23.96,11.3333
23.98,9.33333
24,6.66667
24.02,8.66667
24.04,10.6667
24.06,8.66667
24.08,9.33333
24.1,11.3333
24.12,12.6667
24.14,11.3333
24.16,9.33333
24.18,11.3333
24.2,13.3333
24.22,13.3333
24.24,17.3333
24.26,21.3333
24.28,24
24.3,27.3333
24.32,27.3333
24.34,33.3333
24.36,38.6667
24.38,43.3333
24.4,32
24.42,34.6667
24.44,40
24.46,39.3333
24.48,40
24.5,38.6667
24.52,39.3333
24.54,42.6667
24.56,47.3333
24.58,55.3333
24.6,55.3333
24.62,61.3333
24.64,52.6667
24.66,55.3333
24.68,53.3333
24.7,50
24.72,60.6667
24.74,66
24.76,94.6667
24.78,96
24.8,106
24.82,118.667
24.84,128
24.86,142.667
24.88,140
24.9,136
24.92,120
24.94,103.333
24.96,96.6667
24.98,76.6667
25,48
25.02,45.3333
25.04,24.6667
25.06,22.6667
25.08,26
25.1,22
25.12,23.3333
25.14,15.3333
25.16,14.6667
25.18,18
25.2,22.6667
25.22,13.3333
25.24,20
25.26,8
25.28,16
25.3,12.6667
25.32,14.6667
25.34,14
25.36,21.3333
25.38,20.6667
25.4,18.6667
25.42,23.3333
25.44,26.6667
25.46,34.6667
25.48,35.3333
25.5,41.3333
25.52,50
25.54,72.6667
25.56,84.6667
25.58,98
25.6,109.333
25.62,133.333
25.64,136.667
25.66,136
25.68,146
25.7,146
25.72,129.333
25.74,118.667
25.76,124
25.78,114.667
25.8,107.333
25.82,94
25.84,74
25.86,65.3333
25.88,70.6667
25.9,61.3333
25.92,73.3333
25.94,70.6667
25.96,91.3333
25.98,80.6667
26,101.333
26.02,112
26.04,116
26.06,110.667
26.08,120.667
26.1,95.3333
26.12,68.6667
26.14,56.6667
26.16,46.6667
26.18,37.3333
26.2,33.3333
26.22,23.3333
26.24,22.6667
26.26,18.6667
26.28,18.6667
26.3,16
26.32,18.6667
26.34,18.6667
26.36,14.6667
26.38,13.3333
26.4,14.6667
26.42,15.3333
26.44,13.3333
26.46,17.3333
26.48,18
26.5,16
26.52,15.3333
26.54,16
26.56,10.6667
26.58,12.6667
26.6,16.6667
26.62,16
26.64,15.3333
26.66,9.33333
26.68,10.6667
26.7,17.3333
26.72,16.6667
26.74,10.6667
26.76,18.6667
26.78,16
26.8,10
26.82,8
26.84,11.3333
26.86,16.6667
26.88,17.3333
26.9,18.6667
26.92,14
26.94,15.3333
26.96,14.6667
26.98,17.3333
27,12.6667
27.02,12.6667
27.04,20.6667
27.06,16.6667
27.08,17.3333
27.1,15.3333
27.12,12.6667
27.14,12.6667
27.16,16
27.18,13.3333
27.2,18.6667
27.22,12
27.24,14
27.26,20.6667
27.28,16
27.3,16
27.32,18
27.34,12.6667
27.36,16
27.38,16
27.4,21.3333
27.42,20
27.44,23.3333
27.46,26
27.48,28.6667
27.5,28
27.52,24
27.54,37.3333
27.56,33.3333
27.58,50.6667
27.6,51.3333
27.62,64
27.64,82.6667
27.66,107.333
27.68,118.667
27.7,161.333
27.72,221.333
27.74,247.333
27.76,336.667
27.78,391.333
27.8,458.667
27.82,518.667
27.84,576.667
27.86,578.667
27.88,598
27.9,528
27.92,513.333
27.94,386
27.96,318.667
27.98,252
28,194
28.02,150.667
28.04,92.6667
28.06,68
28.08,70
28.1,49.3333
28.12,40.6667
28.14,36
28.16,37.3333
28.18,36
28.2,39.3333
28.22,26.6667
28.24,34.6667
28.26,24.6667
28.28,20
28.3,22.6667
28.32,22.6667
28.34,22.6667
28.36,20
28.38,19.3333
28.4,16.6667
28.42,19.3333
28.44,18.6667
28.46,15.3333
28.48,20
28.5,16.6667
28.52,18.6667
28.54,23.3333
28.56,16.6667
28.58,9.33333
28.6,12.6667
28.62,13.3333
28.64,14.6667
28.66,18.6667
28.68,16
28.7,14.6667
28.72,16.6667
28.74,12
28.76,18
28.78,14.6667
28.8,16.6667
28.82,16.6667
28.84,14
28.86,11.3333
28.88,14.6667
28.9,11.3333
28.92,14.6667
28.94,17.3333
28.96,16.6667
28.98,9.33333
29,22
29.02,18
29.04,20
29.06,14.6667
29.08,19.3333
29.1,22
29.12,24
29.14,21.3333
29.16,27.3333
29.18,23.3333
29.2,22
29.22,19.3333
29.24,26
29.26,34.6667
29.28,40.6667
29.3,47.3333
29.32,62
29.34,70.6667
29.36,88.6667
29.38,117.333
29.4,164.667
29.42,221.333
29.44,249.333
29.46,300.667
29.48,362.667
29.5,407.333
29.52,400.667
29.54,409.333
29.56,405.333
29.58,349.333
29.6,274.667
29.62,222
29.64,162
29.66,120
29.68,83.3333
29.7,58
29.72,40.6667
29.74,41.3333
29.76,32.6667
29.78,25.3333
29.8,26.6667
29.82,28.6667
29.84,20
29.86,27.3333
29.88,20.6667
29.9,20
29.92,20.6667
29.94,18
29.96,16.6667
29.98,16
30,14.6667
30.02,17.3333
30.04,18.6667
30.06,14
30.08,10.6667
30.1,14.6667
30.12,14
30.14,18
30.16,17.3333
30.18,18.6667
30.2,22.6667
30.22,20.6667
30.24,19.3333
30.26,20.6667
30.28,14
30.3,22.6667
30.32,26
30.34,33.3333
30.36,31.3333
30.38,32
30.4,37.3333
30.42,44
30.44,60.6667
30.46,84.6667
30.48,91.3333
30.5,96.6667
30.52,127.333
30.54,139.333
30.56,129.333
30.58,142.667
30.6,138
30.62,127.333
30.64,117.333
30.66,96
30.68,80.6667
30.7,69.3333
30.72,50.6667
30.74,42.6667
30.76,30
30.78,28.6667
30.8,26
30.82,22.6667
30.84,22
30.86,18.6667
30.88,16
30.9,14
30.92,16.6667
30.94,16.6667
30.96,13.3333
30.98,19.3333
31,16
31.02,15.3333
31.04,15.3333
31.06,10
31.08,12.6667
31.1,14.6667
31.12,13.3333
31.14,20
31.16,20
31.18,14.6667
31.2,16.6667
31.22,18.6667
31.24,14.6667
31.26,14
31.28,19.3333
31.3,18
31.32,19.3333
31.34,23.3333
31.36,28
31.38,27.3333
31.4,28.6667
31.42,39.3333
31.44,45.3333
31.46,58
31.48,76
31.5,96
31.52,112.667
31.54,146.667
31.56,190
31.58,228
31.6,244
31.62,240.667
31.64,242
31.66,228
31.68,200.667
31.7,176.667
31.72,149.333
31.74,121.333
31.76,104.667
31.78,110
31.8,127.333
31.82,140
31.84,153.333
31.86,200.667
31.88,243.333
31.9,266
31.92,262
31.94,266
31.96,257.333
31.98,222.667
32,188.667
32.02,146
32.04,113.333
32.06,89.3333
32.08,68.6667
32.1,49.3333
32.12,34.6667
32.14,32.6667
32.16,24.6667
32.18,21.3333
32.2,24.6667
32.22,26
32.24,22.6667
32.26,24
32.28,20
32.3,18
32.32,20
32.34,19.3333
32.36,21.3333
32.38,27.3333
32.4,30
32.42,32
32.44,30.6667
32.46,37.3333
32.48,44
32.5,52.6667
32.52,50.6667
32.54,46
32.56,44
32.58,44
32.6,44
32.62,48
32.64,44
32.66,37.3333
32.68,30
32.7,24.6667
32.72,28
32.74,32.6667
32.76,37.3333
32.78,36.6667
32.8,44.6667
32.82,45.3333
32.84,50
32.86,60
32.88,79.3333
32.9,79.3333
32.92,91.3333
32.94,121.333
32.96,150.667
32.98,202.667
33,267.333
33.02,321.333
33.04,356.667
33.06,373.333
33.08,405.333
33.1,431.333
33.12,439.333
33.14,424
33.16,351.333
33.18,294
33.2,260.667
33.22,208
33.24,148
33.26,116
33.28,88
33.3,70
33.32,56
33.34,45.3333
33.36,38.6667
33.38,34
33.4,36.6667
33.42,33.3333
33.44,30
33.46,26.6667
33.48,26
33.5,26
33.52,34
33.54,36
33.56,31.3333
33.58,30.6667
33.6,29.3333
33.62,28
33.64,26.6667
33.66,24
33.68,22
33.7,26
33.72,25.3333
33.74,18.6667
33.76,17.3333
33.78,14
33.8,13.3333
33.82,15.3333
33.84,18.6667
33.86,16
33.88,14.6667
33.9,16
33.92,14
33.94,12.6667
33.96,12.6667
33.98,12
34,15.3333
34.02,16
34.04,15.3333
34.06,19.3333
34.08,16.6667
34.1,16.6667
34.12,22
34.14,22.6667
34.16,19.3333
34.18,18.6667
34.2,23.3333
34.22,26
34.24,23.3333
34.26,20
34.28,16.6667
34.3,16
34.32,18
34.34,14
34.36,15.3333
34.38,19.3333
34.4,16
34.42,16
34.44,24
34.46,28
34.48,27.3333
34.5,28
34.52,27.3333
34.54,26
34.56,30.6667
34.58,34
34.6,26.6667
34.62,24.6667
34.64,23.3333
34.66,20.6667
34.68,19.3333
34.7,19.3333
34.72,23.3333
34.74,21.3333
34.76,22.6667
34.78,27.3333
34.8,30
34.82,28.6667
34.84,26
34.86,22.6667
34.88,23.3333
34.9,22
34.92,17.3333
34.94,15.3333
34.96,12.6667
34.98,9.33333
35,10.6667
35.02,11.3333
35.04,11.3333
35.06,10.6667
35.08,8.66667
35.1,10.6667
35.12,11.3333
35.14,10.6667
35.16,9.33333
35.18,10.6667
35.2,12
35.22,10.6667
35.24,12
35.26,12.6667
35.28,12.6667
35.3,15.3333
35.32,16
35.34,12.6667
35.36,16.6667
35.38,24.6667
35.4,21.3333
35.42,17.3333
35.44,21.3333
35.46,26
35.48,23.3333
35.5,18.6667
35.52,20.6667
35.54,20
35.56,18.6667
35.58,19.3333
35.6,15.3333
35.62,9.33333
35.64,9.33333
35.66,10.6667
35.68,10
35.7,9.33333
35.72,8.66667
35.74,8.66667
35.76,10.6667
35.78,10.6667
35.8,9.33333
35.82,11.3333
35.84,12.6667
35.86,10.6667
35.88,10.6667
35.9,12.6667
35.92,11.3333
35.94,12
35.96,9.33333
35.98,10.6667
36,13.3333
36.02,11.3333
36.04,12
36.06,14
36.08,14.6667
36.1,16.6667
36.12,16
36.14,18.6667
36.16,20.6667
36.18,24
36.2,24.6667
36.22,32
36.24,36.6667
36.26,46
36.28,50
36.3,48.6667
36.32,62.6667
36.34,64.6667
36.36,60.6667
36.38,54
36.4,47.3333
36.42,48
36.44,43.3333
36.46,38
36.48,31.3333
36.5,28.6667
36.52,30
36.54,27.3333
36.56,29.3333
36.58,32
36.6,33.3333
36.62,33.3333
36.64,46
36.66,49.3333
36.68,46.6667
36.7,50
36.72,48.6667
36.74,58
36.76,70
36.78,83.3333
36.8,89.3333
36.82,107.333
36.84,110.667
36.86,106.667
36.88,97.3333
36.9,90.6667
36.92,85.3333
36.94,87.3333
36.96,82.6667
36.98,78.6667
37,76
37.02,71.3333
37.04,70
37.06,64
37.08,63.3333
37.1,60
37.12,56
37.14,42
37.16,32
37.18,30.6667
37.2,26.6667
37.22,24
37.24,16
37.26,21.3333
37.28,18
37.3,17.3333
37.32,16.6667
37.34,13.3333
37.36,15.3333
37.38,17.3333
37.4,18.6667
37.42,20
37.44,18
37.46,20
37.48,22
37.5,27.3333
37.52,30
37.54,36
37.56,38.6667
37.58,46.6667
37.6,46
37.62,54.6667
37.64,56.6667
37.66,61.3333
37.68,60.6667
37.7,62
37.72,52.6667
37.74,51.3333
37.76,36
37.78,37.3333
37.8,37.3333
37.82,34
37.84,26.6667
37.86,26
37.88,23.3333
37.9,18.6667
37.92,19.3333
37.94,15.3333
37.96,18.6667
37.98,19.3333
38,18.6667
38.02,20.6667
38.04,22
38.06,24
38.08,25.3333
38.1,24.6667
38.12,17.3333
38.14,20.6667
38.16,14
38.18,18.6667
38.2,13.3333
38.22,12.6667
38.24,12.6667
38.26,13.3333
38.28,14.6667
38.3,16
38.32,21.3333
38.34,20
38.36,18.6667
38.38,20
38.4,26
38.42,32.6667
38.44,29.3333
38.46,30
38.48,34
38.5,30
38.52,30
38.54,17.3333
38.56,21.3333
38.58,17.3333
38.6,17.3333
38.62,16
38.64,17.3333
38.66,14.6667
38.68,13.3333
38.7,12.6667
38.72,14
38.74,13.3333
38.76,18.6667
38.78,14.6667
38.8,16
38.82,12.6667
38.84,14.6667
38.86,24
38.88,20.6667
38.9,27.3333
38.92,30.6667
38.94,34.6667
38.96,26.6667
38.98,29.3333
39,34
39.02,26.6667
39.04,18
39.06,26.6667
39.08,28
39.1,14.6667
39.12,16.6667
39.14,10.6667
39.16,10
39.18,12
39.2,9.33333
39.22,10
39.24,16
39.26,10
39.28,10
39.3,10
39.32,10.6667
39.34,9.33333
39.36,7.33333
39.38,12.6667
39.4,10
39.42,12
39.44,15.3333
39.46,12
39.48,15.3333
39.5,18
39.52,17.3333
39.54,16
39.56,21.3333
39.58,21.3333
39.6,31.3333
39.62,34
39.64,34.6667
39.66,38.6667
39.68,42
39.7,44
39.72,52.6667
39.74,59.3333
39.76,62.6667
39.78,62
39.8,75.3333
39.82,63.3333
39.84,66.6667
39.86,47.3333
39.88,56.6667
39.9,49.3333
39.92,35.3333
39.94,30.6667
39.96,30
39.98,18
40,20
40.02,16.6667
40.04,11.3333
40.06,12.6667
40.08,13.3333
40.1,9.33333
40.12,8.66667
40.14,11.3333
40.16,9.33333
40.18,12.6667
40.2,8
40.22,11.3333
40.24,10.6667
40.26,4.66667
40.28,2
40.3,11.3333
40.32,10.6667
40.34,9.33333
40.36,6.66667
40.38,6
40.4,9.33333
40.42,9.33333
40.44,12.6667
40.46,12
40.48,10.6667
40.5,13.3333
40.52,10.6667
40.54,8
40.56,8.66667
40.58,6
40.6,10.6667
40.62,7.33333
40.64,6.66667
40.66,9.33333
40.68,12
40.7,6
40.72,6.66667
40.74,8
40.76,9.33333
