2theta,Intensity
34,60.6667
34.02,74.6667
34.04,94
34.06,121.333
34.08,159.333
34.1,183.333
34.12,200
34.14,205.333
34.16,189.333
34.18,160
34.2,127.333
34.22,110.667
34.24,96.6667
34.26,76
34.28,58.6667
34.3,50
34.32,44
34.34,38
34.36,42.6667
34.38,48
34.4,48.6667
34.42,43.3333
34.44,40.6667
34.46,45.3333
34.48,52
34.5,62.6667
34.52,83.3333
34.54,106
34.56,144
34.58,197.333
34.6,266
34.62,356.667
34.64,468
34.66,565.333
34.68,602
34.7,612
34.72,617.333
34.74,572.667
34.76,488
34.78,397.333
34.8,317.333
34.82,250
34.84,182
34.86,130.667
34.88,83.3333
34.9,56.6667
34.92,44.6667
34.94,39.3333
34.96,37.3333
34.98,42.6667
35,40.6667
35.02,34
35.04,37.3333
35.06,36.6667
35.08,40
35.1,48
35.12,42.6667
35.14,38.6667
35.16,52
35.18,66.6667
35.2,86
35.22,114
35.24,157.333
35.26,230
35.28,290
35.3,344.667
35.32,416
35.34,450
35.36,452
35.38,440
35.4,400.667
35.42,332
35.44,274.667
35.46,227.333
35.48,176
35.5,113.333
35.52,77.3333
35.54,60
35.56,46.6667
35.58,36
35.6,33.3333
35.62,31.3333
35.64,32
35.66,24.6667
35.68,20.6667
35.7,23.3333
35.72,16
35.74,14.6667
35.76,19.3333
35.78,19.3333
35.8,18
35.82,18.6667
35.84,17.3333
35.86,14.6667
35.88,13.3333
35.9,15.3333
35.92,14
35.94,13.3333
35.96,15.3333
35.98,18
36,16.6667
36.02,13.3333
36.04,17.3333
36.06,15.3333
36.08,14
36.1,16
36.12,16.6667
36.14,16
36.16,18.6667
36.18,23.3333
36.2,29.3333
36.22,34.6667
36.24,37.3333
36.26,42
36.28,54
36.3,66
36.32,82
36.34,87.3333
36.36,85.3333
36.38,82
36.4,77.3333
36.42,65.3333
36.44,50.6667
36.46,48
36.48,44.6667
36.5,26.6667
36.52,22.6667
36.54,18
36.56,14.6667
36.58,12.6667
36.6,14.6667
36.62,11.3333
36.64,10
36.66,10.6667
36.68,16
36.7,16.6667
36.72,16
36.74,16.6667
36.76,14
36.78,15.3333
36.8,14.6667
36.82,10.6667
36.84,10
36.86,7.33333
36.88,8
36.9,8.66667
36.92,8.66667
36.94,9.33333
36.96,10.6667
36.98,8.66667
37,5.33333
37.02,4.66667
37.04,5.33333
37.06,4.66667
37.08,4.66667
37.1,6.66667
37.12,8
37.14,8.66667
37.16,8
37.18,9.33333
37.2,6.66667
37.22,7.33333
37.24,6
37.26,6
37.28,7.33333
37.3,8
37.32,8
37.34,6
37.36,6
37.38,5.33333
37.4,5.33333
37.42,6.66667
37.44,8
37.46,6.66667
37.48,6
37.5,6.66667
37.52,6
37.54,4.66667
37.56,8
37.58,9.33333
37.6,8
37.62,10
37.64,9.33333
37.66,14
37.68,17.3333
37.7,18
37.72,20
37.74,25.3333
37.76,25.3333
37.78,25.3333
37.8,32
37.82,35.3333
37.84,23.3333
37.86,26.6667
37.88,24
37.9,15.3333
37.92,16.6667
37.94,18.6667
37.96,13.3333
37.98,6.66667
38,6
38.02,9.33333
38.04,6.66667
38.06,8
38.08,4.66667
38.1,7.33333
38.12,6.66667
38.14,8
38.16,7.33333
38.18,7.33333
38.2,5.33333
38.22,5.33333
38.24,4
38.26,4
38.28,4.66667
38.3,4.66667
38.32,5.33333
38.34,4.66667
38.36,6.66667
38.38,7.33333
38.4,6.66667
38.42,9.33333
38.44,10.6667
38.46,6
38.48,6
38.5,10
38.52,7.33333
38.54,8.66667
38.56,9.33333
38.58,12
38.6,8
38.62,11.3333
38.64,23.3333
38.66,25.3333
38.68,22
38.7,29.3333
38.72,36.6667
38.74,51.3333
38.76,64.6667
38.78,88.6667
38.8,94
38.82,92
38.84,103.333
38.86,106
38.88,89.3333
38.9,87.3333
38.92,62.6667
38.94,47.3333
38.96,41.3333
38.98,38
39,22.6667
39.02,20
39.04,14
39.06,7.33333
39.08,7.33333
39.1,11.3333
39.12,12.6667
39.14,8
39.16,8.66667
39.18,10
39.2,5.33333
39.22,8.66667
39.24,7.33333
39.26,6.66667
39.28,9.33333
39.3,8.66667
39.32,6.66667
39.34,9.33333
39.36,8
39.38,8.66667
39.4,7.33333
39.42,10
39.44,12
39.46,10
39.48,15.3333
39.5,11.3333
39.52,16.6667
39.54,18
39.56,16.6667
39.58,33.3333
39.6,30
39.62,31.3333
39.64,34.6667
39.66,28
39.68,24
39.7,24
39.72,23.3333
39.74,13.3333
39.76,14.6667
39.78,17.3333
39.8,16.6667
39.82,12
39.84,8
39.86,10
39.88,6.66667
39.9,3.33333
39.92,10
39.94,4.66667
39.96,7.33333
39.98,6.66667
40,9.33333
40.02,10
40.04,10.6667
40.06,10.6667
40.08,6
40.1,16.6667
40.12,10
40.14,11.3333
40.16,10
40.18,9.33333
40.2,11.3333
40.22,10.6667
40.24,5.33333
40.26,9.33333
40.28,10.6667
40.3,10.6667
40.32,7.33333
40.34,4.66667
40.36,8
40.38,8.66667
40.4,6.66667
40.42,4
40.44,7.33333
40.46,9.33333
40.48,8
40.5,12
40.52,11.3333
40.54,6.66667
40.56,10.6667
40.58,16
40.6,25.3333
40.62,34
40.64,33.3333
40.66,37.3333
40.68,38
40.7,48
40.72,41.3333
40.74,46
40.76,42
40.78,32.6667
40.8,24.6667
40.82,22.6667
40.84,23.3333
40.86,22.6667
40.88,16.6667
40.9,14
40.92,8.66667
40.94,6
40.96,8
40.98,6.66667
41,7.33333
41.02,10.6667
41.04,6
41.06,6
41.08,4.66667
41.1,5.33333
41.12,10.6667
41.14,5.33333
41.16,4.66667
41.18,9.33333
41.2,5.33333
41.22,9.33333
41.24,7.33333
41.26,9.33333
41.28,6.66667
41.3,13.3333
41.32,14.6667
41.34,6
41.36,8.66667
41.38,9.33333
41.4,11.3333
41.42,10
41.44,12.6667
41.46,18
41.48,27.3333
41.5,24
41.52,26
41.54,28
41.56,35.3333
