2theta,Intensity
22.54,11.3333
22.56,9.33333
22.58,11.3333
22.6,11.3333
22.62,8
22.64,8.66667
22.66,10
22.68,10
22.7,8
22.72,6.66667
22.74,7.33333
22.76,10
22.78,7.33333
22.8,6
22.82,7.33333
22.84,8
22.86,10
22.88,10
22.9,6
22.92,8.66667
22.94,8
22.96,8
22.98,6.66667
23,8.66667
23.02,7.33333
23.04,8.66667
23.06,8
23.08,9.33333
23.1,10.6667
23.12,10
23.14,9.33333
23.16,12.6667
23.18,9.33333
23.2,6.66667
23.22,7.33333
23.24,8
23.26,8.66667
23.28,7.33333
23.3,8
23.32,7.33333
23.34,9.33333
23.36,7.33333
23.38,6.66667
23.4,7.33333
23.42,8
23.44,6.66667
23.46,8.66667
23.48,8
23.5,6.66667
23.52,8.66667
23.54,8.66667
23.56,5.33333
23.58,5.33333
23.6,4.66667
23.62,8.66667
23.64,7.33333
23.66,5.33333
23.68,5.33333
23.7,4.66667
23.72,6.66667
23.74,6.66667
23.76,6.66667
23.78,7.33333
23.8,9.33333
23.82,6.66667
23.84,6.66667
23.86,8.66667
23.88,8.66667
23.9,6.66667
23.92,7.33333
23.94,6
23.96,7.33333
23.98,6.66667
24,8
24.02,8.66667
24.04,8
24.06,10
24.08,10.6667
24.1,8
24.12,8.66667
24.14,7.33333
24.16,8.66667
24.18,7.33333
24.2,7.33333
24.22,12
24.24,14
24.26,11.3333
24.28,14.6667
24.3,18.6667
24.32,14
24.34,14
24.36,16.6667
24.38,20.6667
24.4,14.6667
24.42,20.6667
24.44,22.6667
24.46,30
24.48,24.6667
24.5,30.6667
24.52,30.6667
24.54,38.6667
24.56,56
24.58,64
24.6,80.6667
24.62,115.333
24.64,140.667
24.66,199.333
24.68,248
24.7,298
24.72,339.333
24.74,372.667
24.76,411.333
24.78,395.333
24.8,357.333
24.82,269.333
24.84,191.333
24.86,146.667
24.88,86
24.9,62.6667
24.92,44
24.94,31.3333
24.96,27.3333
24.98,30
25,22.6667
25.02,22
25.04,25.3333
25.06,22.6667
25.08,18.6667
25.1,13.3333
25.12,12
25.14,14
25.16,14.6667
25.18,14.6667
25.2,10.6667
25.22,12.6667
25.24,11.3333
25.26,12.6667
25.28,7.33333
25.3,13.3333
25.32,8.66667
25.34,13.3333
25.36,10.6667
25.38,12.6667
25.4,10
25.42,7.33333
25.44,8.66667
25.46,10
25.48,15.3333
25.5,10
25.52,11.3333
25.54,13.3333
25.56,12.6667
25.58,14.6667
25.6,13.3333
25.62,11.3333
25.64,10
25.66,10
25.68,13.3333
25.7,12.6667
25.72,12
25.74,8
25.76,12.6667
25.78,14.6667
25.8,18.6667
25.82,16
25.84,21.3333
25.86,30
25.88,43.3333
25.9,39.3333
25.92,50.6667
25.94,42
25.96,35.3333
25.98,38
