2theta,Intensity
22.28,16
22.3,11.3333
22.32,12
22.34,12.6667
22.36,8.66667
22.38,10
22.4,13.3333
22.42,12.6667
22.44,11.3333
22.46,13.3333
22.48,12
22.5,13.3333
22.52,11.3333
22.54,13.3333
22.56,15.3333
22.58,16.6667
22.6,17.3333
22.62,14.6667
22.64,12.6667
22.66,12.6667
22.68,12
22.7,12
22.72,11.3333
22.74,10.6667
22.76,13.3333
22.78,13.3333
22.8,12.6667
22.82,17.3333
22.84,14
22.86,11.3333
22.88,10
22.9,9.33333
22.92,14
22.94,16.6667
22.96,16
22.98,12
23,11.3333
23.02,9.33333
23.04,12
23.06,12.6667
23.08,12
23.1,9.33333
23.12,12
23.14,13.3333
23.16,13.3333
23.18,16
23.2,15.3333
23.22,16.6667
23.24,13.3333
23.26,10.6667
23.28,12
23.3,8
23.32,8.66667
23.34,11.3333
23.36,14
23.38,12
23.4,11.3333
23.42,12
23.44,7.33333
23.46,7.33333
23.48,11.3333
23.5,10.6667
23.52,8.66667
23.54,13.3333
23.56,12.6667
23.58,10
23.6,9.33333
23.62,9.33333
23.64,11.3333
23.66,10.6667
23.68,8.66667
23.7,8.66667
23.72,16
23.74,9.33333
23.76,10.6667
23.78,12
23.8,13.3333
23.82,12
23.84,10.6667
23.86,14
23.88,14.6667
23.9,13.3333
23.92,13.3333
23.94,12
23.96,12.6667
23.98,11.3333
24,18
24.02,19.3333
24.04,13.3333
24.06,12
24.08,10.6667
24.1,20
24.12,21.3333
24.14,24
24.16,20.6667
24.18,18
24.2,19.3333
24.22,18.6667
24.24,24.6667
24.26,36.6667
24.28,37.3333
24.3,38.6667
24.32,48
24.34,56.6667
24.36,78
24.38,98.6667
24.4,123.333
24.42,149.333
24.44,187.333
24.46,229.333
24.48,276.667
24.5,323.333
24.52,338.667
24.54,363.333
24.56,362
24.58,334
24.6,266.667
24.62,206.667
24.64,156
24.66,101.333
24.68,68
24.7,48.6667
24.72,44
24.74,38
24.76,26.6667
24.78,24
24.8,26.6667
24.82,28.6667
24.84,24
24.86,28.6667
24.88,17.3333
24.9,21.3333
24.92,22.6667
24.94,20.6667
24.96,18
24.98,18
25,11.3333
25.02,14
25.04,17.3333
25.06,12
25.08,12.6667
25.1,11.3333
25.12,10.6667
25.14,15.3333
25.16,14
25.18,11.3333
25.2,11.3333
25.22,14.6667
25.24,12.6667
25.26,13.3333
25.28,16.6667
25.3,13.3333
25.32,14
25.34,8.66667
25.36,10
25.38,10.6667
25.4,12.6667
25.42,19.3333
25.44,18
25.46,12
25.48,16.6667
25.5,20
25.52,14.6667
25.54,16.6667
25.56,18.6667
25.58,18
25.6,19.3333
25.62,17.3333
25.64,19.3333
25.66,20
25.68,19.3333
25.7,21.3333
25.72,20
25.74,20.6667
25.76,18
25.78,15.3333
25.8,14
25.82,14.6667
25.84,12
25.86,14
25.88,12.6667
25.9,14.6667
25.92,7.33333
25.94,13.3333
25.96,17.3333
25.98,14.6667
26,12
26.02,11.3333
26.04,9.33333
26.06,16.6667
26.08,13.3333
26.1,17.3333
26.12,15.3333
26.14,10
26.16,18.6667
